id,name,value,data_source
8fd12a12-244f-434d-83a1-526d453f3957,geom,"MULTIPOLYGON (((-122.42374196100002 37.767600261999974, -122.423741173 37.767592046999994, -122.42377221999999 37.767590170999995, -122.42422584500002 37.767562754999972, -122.42414258000002 37.766693686999986, -122.42403909299998 37.766699941000013, -122.42402072700003 37.766508250000015, -122.422192516 37.766618728000026, -122.42229490699998 37.767687704000025, -122.42263980400003 37.767666863999978, -122.422743293 37.767660611999986, -122.42282953400002 37.767655400000024, -122.42291577399999 37.767650188999994, -122.42300201500001 37.767644976999975, -122.42308480600002 37.767639975000009, -122.42316759699997 37.767634971000007, -122.423305583 37.76762663300002, -122.42339182299997 37.767621421999991, -122.42348841199998 37.767615584999987, -122.423591902 37.767609330000028, -122.42367469300001 37.767604327000015, -122.42374196100002 37.767600261999974)))",planning
8fd12a12-244f-434d-83a1-526d453f3957,lat,37.7670987,planning
8fd12a12-244f-434d-83a1-526d453f3957,lng,-122.42319957999999,planning
f997f8fd-f293-46c2-bb0d-df25653ead5c,geom,"MULTIPOLYGON (((-122.38979726899998 37.787587174000009, -122.38996289400001 37.787722742000028, -122.39031230099999 37.787446537999983, -122.39064567600002 37.787183002999996, -122.39047725 37.787049649999972, -122.39014667399999 37.787310971000011, -122.38979726899998 37.787587174000009)))",planning
f997f8fd-f293-46c2-bb0d-df25653ead5c,lat,37.78738569,planning
f997f8fd-f293-46c2-bb0d-df25653ead5c,lng,-122.39022083000002,planning
d4577b50-6185-4b90-a75a-42d8db11a277,geom,"MULTIPOLYGON (((-122.43337446499999 37.789452449000009, -122.43328732999998 37.789463529999978, -122.43320019700002 37.789474611000003, -122.43311306200002 37.789485693000017, -122.43302592700002 37.789496773999986, -122.43293879399999 37.789507856, -122.43285351399999 37.789518699999974, -122.43292662599998 37.789880223000011, -122.43353667999997 37.789803254999981, -122.433489425 37.789579537999998, -122.433461599 37.789441366999995, -122.43337446499999 37.789452449000009)))",planning
d4577b50-6185-4b90-a75a-42d8db11a277,lat,37.789661,planning
d4577b50-6185-4b90-a75a-42d8db11a277,lng,-122.43319449999998,planning
03f740fd-b79b-4cf8-8881-db628ef40306,geom,"MULTIPOLYGON (((-122.40300143000002 37.782260561999976, -122.40290391600001 37.782182603000024, -122.40321526100001 37.781936600999984, -122.402827849 37.781626873999983, -122.40216104400002 37.782153730000005, -122.402355919 37.782309773000009, -122.40235053700002 37.782314025999995, -122.402281813 37.782368324999993, -122.40257412800003 37.782602388999976, -122.40269648700001 37.782505710999999, -122.40281372599998 37.78241307899998, -122.40282094000003 37.782407379000006, -122.40319665700002 37.782708221000007, -122.403380089 37.782563287000016, -122.40300143000002 37.782260561999976)))",planning
03f740fd-b79b-4cf8-8881-db628ef40306,lat,37.78217673,planning
03f740fd-b79b-4cf8-8881-db628ef40306,lng,-122.40275757,planning
0c6bfa4b-5d9c-446b-82e4-9d8a188c9716,geom,"MULTIPOLYGON (((-122.424101931 37.798059180999985, -122.42417733299999 37.798432031999994, -122.424516106 37.798388965000015, -122.42444089899999 37.798016091000022, -122.424101931 37.798059180999985)))",planning
0c6bfa4b-5d9c-446b-82e4-9d8a188c9716,lat,37.79822405,planning
0c6bfa4b-5d9c-446b-82e4-9d8a188c9716,lng,-122.42430906,planning
17083f61-9ce4-4972-96f2-5ecf9133286d,geom,"MULTIPOLYGON (((-122.42018528199998 37.765572173999999, -122.42007433499998 37.765578876000006, -122.41986736299998 37.765591378000011, -122.41989126999999 37.765841061000003, -122.41989654899999 37.765896189999978, -122.41991980400002 37.766139066999983, -122.42054818700001 37.766101108999976, -122.42049574100002 37.765553421999982, -122.42039225500002 37.765559671999995, -122.42018528199998 37.765572173999999)))",planning
17083f61-9ce4-4972-96f2-5ecf9133286d,lat,37.76584624,planning
17083f61-9ce4-4972-96f2-5ecf9133286d,lng,-122.42020776999999,planning
8129302d-5241-49dd-8ac8-e03f374fc89a,geom,"MULTIPOLYGON (((-122.46638107400003 37.757357888000001, -122.46679735399999 37.757339574000014, -122.46679256599998 37.757271020000019, -122.46637628500002 37.757289334999996, -122.46638107400003 37.757357888000001)))",planning
8129302d-5241-49dd-8ac8-e03f374fc89a,lat,37.75731445,planning
8129302d-5241-49dd-8ac8-e03f374fc89a,lng,-122.46658682,planning
