Project ID,Project Name,Street Number,Street Name,Street Type,Zip Code,City Analysis Neighborhood,Supervisor District,Project Sponsor,Total Units,Total Beds,Affordable Units,Affordable Beds,Single Room Occupancy Units,Studio Units,1bd Units,2bd Units,3bd Units,4bd Units,5+ bd Units,Family Units,Senior Units,TAY Units,Homeless Units,LOSP Units,Disabled Units,20% AMI,30% AMI,40% AMI,50% AMI,60% AMI,80% AMI,120% AMI,More than 120% AMI,Year Building Constructed,Year Affordability Began,Latitude,Longitude,Location,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,:@computed_region_fyvs_ahh9,:@computed_region_bh8s_q3mv,:@computed_region_yftq_j783,:@computed_region_p5aj_wyqh,:@computed_region_rxqg_mtj9
1995-016,Monterey Boulevard Apartments,403,Monterey,Blvd,94112,West of Twin Peaks,7,Bernal Heights Neighborhood Center,4,0,4,0,0,0,1,3,0,0,0,4,0,0,4,4,0,0,0,0,0,4,0,0,0,1950,1997,37.73,-122.4445801,POINT (-122.44458010000001 37.73),95,9,8,41,40,28861,9,7,4
1993-007,205 Jones,205,Jones,St,94102,Tenderloin,6,Mercy Housing California,50,0,49,0,0,49,0,0,0,0,0,49,0,0,0,0,0,0,0,0,10,39,0,0,0,1920,1996,37.78,-122.4126816,POINT (-122.4126816 37.78),32,5,10,34,34,28853,8,2,9
2015-013,1684-1688 Grove Street,1684,Grove,St,94117,Lone Mountain/USF,5,San Francisco Community Land Trust,3,0,3,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,1906,2016,37.78,-122.4443665,POINT (-122.44436649999999 37.78),13,7,6,18,16,29490,15,5,1
2013-026,227 Bay Street,227,Bay,St,94133,North Beach,3,Chinatown Community Development Center,50,0,49,0,0,47,2,0,0,0,0,0,49,0,0,0,49,0,0,0,49,0,0,0,0,1970,2015,37.81,-122.411293,POINT (-122.41129299999999 37.81),99,,,,,308,,,
2007-017,St. Peter's Place,420,29th,Ave,94121,Outer Richmond,1,Bernal Heights Neighborhood Center,20,0,19,0,0,14,4,1,0,0,0,19,0,0,14,0,19,0,0,0,19,0,0,0,0,2011,2011,37.78,-122.4888077,POINT (-122.4888077 37.78),8,8,4,29,26,55,11,6,2
1994-009,Magdalena Mora Hous,2973,26th,St,94110,Mission,9,Bernal Heights Neighborhood Center,2,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1911,1997,37.75,-122.4095154,POINT (-122.4095154 37.75),53,3,2,20,19,28859,2,4,7
2002-021,Mosaica Family Apartments,680,Florida,St,94110,Mission,9,Tenderloin Neighborhood Development Corporation,93,0,92,0,0,0,6,43,39,4,0,90,0,2,20,20,0,0,20,0,0,72,0,0,0,2009,2008,37.76,-122.4115067,POINT (-122.4115067 37.76),53,3,2,20,19,28859,2,4,7
2016-030,462 Green Street,462,Green,St,94133,North Beach,3,Chinatown Community Development Center,6,0,6,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,1906,2016,37.8,-122.4068527,POINT (-122.4068527 37.8),106,6,3,23,23,308,3,1,10
1990-009,Senator Residence,519,Ellis,St,94109,Tenderloin,6,Community Housing Partnership,89,0,89,0,71,0,18,0,0,0,0,86,0,0,86,0,0,0,0,0,86,0,0,0,0,2005,2005,37.78,-122.4148636,POINT (-122.4148636 37.78),21,5,10,36,36,28852,7,10,9
1999-021,TIHDI: Island Bay Homes,1411,Flounder,Ct,94130,Treasure Island,6,Community Housing Partnership,66,0,64,0,0,0,0,26,28,10,0,64,0,0,41,21,0,0,0,0,33,0,31,0,0,1989,2002,37.83,-122.3747864,POINT (-122.3747864 37.83),36,1,10,37,37,62,,2,9
