Project ID,Project Status,Project Name,Street Number,Street Name,Street Type,Zip Code,Housing Tenure,Section 415 Declaration,Entitlement Approval Date,Actual/Estimated Completion Date,Planning Case Number,Property Information Map Link,Planning Entitlements,Project Units,Affordable Units,Units Subject to Section 415,On-Site Affordable Units,Off-Site Affordable Units,Off-Site Affordable Units at This Site,SRO Units,Studio Units,1bd Units,2bd Units,3bd Units,4bd Units,30% AMI,50% AMI,55% AMI,60% AMI,80% AMI,90% AMI,100% AMI,120% AMI,150% AMI,Supervisor District,Neighborhood,Planning Neighborhood,Plan Area,Off-Site Principal Project ID,Off-Site Principal Project,Off-Site Project ID,Off-Site Project,Latitude,Longitude,Location
2011-029,(6) Complete,Gantry,2121,03rd,St,94107,Rental,On-site BMR Project,09/08/2011,11/12/2014,2010.0094,http://propertymap.sfplanning.org/?search=2010.0094,"2010.0094E,2010.0094K,2010.0094X",105,18,105,18,0,0,0,2,8,7,1,0,0,0,18,0,0,0,0,0,0,10,Potrero Hill,Potrero Hill,Central Waterfront (EN),0,0,0,0,37.76268612,-122.3882188,POINT (-122.3882188 37.76268612)
2011-032,(6) Complete,899 Valencia,899,Valencia,St,94110,Unknown,Fee Payment,05/26/2011,05/04/2015,2004.0891,http://propertymap.sfplanning.org/?search=2004.0891,"2004.0891C,2004.0891E,2004.0891E_3,2004.0891E_5,2004.0891E_6,2004.0891K",18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,Mission,Mission,Mission (EN),0,0,0,0,37.75875085,-122.4209777,POINT (-122.4209777 37.75875085)
1991-003,(6) Complete,Potrero Square,701,Minnesota,St,94107,Ownership,On-site BMR Project,08/22/1991,11/05/1993,1990.442,http://propertymap.sfplanning.org/?search=1990.442,"1990.442C,1990.442E,1990.442R",58,5,58,5,0,0,0,0,2,3,0,0,0,0,0,0,0,0,5,0,0,10,Potrero Hill,Potrero Hill,Central Waterfront (EN),0,0,0,0,37.76131509,-122.3900558,POINT (-122.3900558 37.76131509)
2014-023,(6) Complete,645 Texas,645,Texas,St,94107,Ownership,On-site BMR Project,08/14/2014,02/14/2018,2012.1218,http://propertymap.sfplanning.org/?search=2012.1218,"2012.1218E,2012.1218E_3,2012.1218K,2012.1218U,2012.1218X,2014-002298GPR,2015-004253CND",91,11,91,11,0,0,0,0,5,6,0,0,0,0,0,0,0,11,0,0,0,10,Potrero Hill,Potrero Hill,Showplace Square/Potrero Hill (EN),0,0,0,0,37.75796341,-122.3945718,POINT (-122.3945718 37.75796341)
2004-022,(6) Complete,77 Bluxome,77,Bluxome,St,94107,Rental,On-site BMR Project,12/15/2004,07/23/2008,2003.0366,http://propertymap.sfplanning.org/?search=2003.0366,"2003.0366E,2003.0366K,2003.0366V",102,10,102,10,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,6,South of Market,South of Market,"Central SoMa, South of Market, Western SoMa (EN)",0,0,0,0,37.77626009,-122.3971051,POINT (-122.3971051 37.77626009)
2005-009,(6) Complete,74 New Montgomery,74,New Montgomery,St,94105,Ownership,On-site BMR Project,05/05/2005,05/05/2009,2005.0496,http://propertymap.sfplanning.org/?search=2005.0496,2005.0496Q,107,11,107,11,0,0,0,4,5,2,0,0,0,0,0,0,0,0,11,0,0,6,Financial District,Financial District/South Beach,"Central SoMa, Downtown, Transit Center District",0,0,0,0,37.78745786,-122.4013099,POINT (-122.4013099 37.78745786)
2016-012,(3) Design with Entitlements Approved,988 Harrison,988,Harrison,St,94107,Rental,On-site BMR Project,02/25/2016,02/23/2023,2014.0832,http://propertymap.sfplanning.org/?search=2014.0832,"2014.0832CUA,2014.0832E,2014.0832ENX,2014.0832PPA,2014.0832SHD,2014.0832U",100,12,100,12,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,6,South of Market,South of Market,"Central SoMa, East SoMa (EN), South of Market",0,0,0,0,37.77766409,-122.4041571,POINT (-122.4041571 37.77766409)
2013-015,(6) Complete,480 Potrero,480,Potrero,Ave,94110,Rental,On-site BMR Project,08/08/2013,07/07/2016,2011.0430,http://propertymap.sfplanning.org/?search=2011.0430,"13-109,13-111,14-025,2011.0430E,2011.0430E_11,2011.0430E_13,2011.0430E_14,2011.0430E_3,2011.0430E_5,2011.0430E_6,2011.0430E_8,2011.0430E_9,2011.0430K,2011.0430PPA,2011.0430Q,2011.0430U,2011.0430X",75,11,75,11,0,0,0,1,5,3,2,0,0,0,11,0,0,0,0,0,0,10,Mission,Mission,Mission (EN),0,0,0,0,37.76347766,-122.4076714,POINT (-122.4076714 37.76347766)
2016-054,(3) Design with Entitlements Approved,469 Eddy,469,Eddy,St,94102,Ownership,On-site BMR Project,05/12/2016,05/11/2023,2014.0562,http://propertymap.sfplanning.org/?search=2014.0562,"2014.0562CUA,2014.0562E,2014.0562SHD,2014.0562U,2014.0562VAR",28,4,28,4,0,0,0,0,2,2,0,0,0,0,0,0,0,4,0,0,0,6,Downtown/Civic Center,Tenderloin,,0,0,0,0,37.78330387,-122.4153187,POINT (-122.4153187 37.78330387)
2003-002,(6) Complete,4343 3rd,4343,3rd,St,94124,Ownership,On-site BMR Project,01/01/2003,05/13/2008,2003.0936,http://propertymap.sfplanning.org/?search=2003.0936,"2003.0936E,2003.0936ENF",16,2,16,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,10,Bayview,Bayview Hunters Point,Bayview Hunters Point,0,0,0,0,37.73809262,-122.3892078,POINT (-122.3892078 37.73809262)
2009-002,(4) Site Work Permit Issued,180 Jones  / 181 Turk,180,Jones,St,94102,Ownership,On-site BMR Project,03/05/2009,09/08/2018,2005.0267,http://propertymap.sfplanning.org/?search=2005.0267,"2005.0267C,2005.0267E,2005.0267K,2005.0267V",37,4,37,4,0,0,0,0,2,2,0,0,0,0,0,0,0,0,4,0,0,6,Downtown/Civic Center,Tenderloin,,0,0,0,0,37.78282592,-122.4121551,POINT (-122.4121551 37.78282592)
2017-030,(3) Design with Entitlements Approved,2670 Geary Blvd,2670,Geary,Blvd,94118,Rental,On-site BMR Project,11/30/2017,11/28/2024,2014-002181PRJ,http://propertymap.sfplanning.org/?search=2014-002181PRJ,"2014-002181CUA,2014-002181ENV,2014-002181PPA,2014-002181TDM,2014-002181VAR",95,22,95,22,0,0,0,15,0,7,0,0,0,0,22,0,0,0,0,0,0,2,Presidio Heights,Presidio Heights,,0,0,0,0,37.78285255,-122.4474425,POINT (-122.4474425 37.78285255)
2003-017,(6) Complete,199 New Montgomery,199,New Montgomery,St,94105,Ownership,On-site BMR Project,07/26/2003,01/06/2006,2001.0669,http://propertymap.sfplanning.org/?search=2001.0669,"2001.0669C,2001.0669V,2001.0669X",166,18,166,18,0,0,0,5,6,7,0,0,0,0,0,0,0,0,18,0,0,6,Financial District,Financial District/South Beach,"Central SoMa, Downtown, Transit Center District",0,0,0,0,37.78660559,-122.3990994,POINT (-122.3990994 37.78660559)
2014-010,(5) First Construction Document Issued,O&M,650,Indiana,St,94107,Rental,On-site BMR Project,05/01/2014,07/31/2017,2012.1574,http://propertymap.sfplanning.org/?search=2012.1574,"2012.1574E,2012.1574E_3,2012.1574K,2012.1574U,2012.1574X",111,16,111,16,0,0,0,5,4,6,1,0,0,0,16,0,0,0,0,0,0,10,Potrero Hill,Potrero Hill,Central Waterfront (EN),0,0,0,0,37.76214783,-122.3918616,POINT (-122.3918616 37.76214783)
2017-025,(3) Design with Entitlements Approved,975 Bryant St,975,Bryant,St,94103,Rental,On-site BMR Project,10/05/2017,10/03/2024,2015-005862PRJ,http://propertymap.sfplanning.org/?search=2015-005862PRJ,"2015-005862ENV,2015-005862ENX,2015-005862PPA,2015-005862TDM",185,30,185,30,0,0,0,6,12,10,2,0,0,0,30,0,0,0,0,0,0,6,South of Market,South of Market,"Showplace Square/Potrero Hill (EN), South of Market",0,0,0,0,37.77287079,-122.4056592,POINT (-122.4056592 37.77287079)
2015-054,(5) First Construction Document Issued,240 Pacific,240,Pacific,Ave,94111,Unknown,Fee Payment,12/10/2015,01/09/2019,2013.1757,http://propertymap.sfplanning.org/?search=2013.1757,"2013.1757C,2013.1757CND,2013.1757E,2013.1757LLA,2013.1757PPA,2013.1757U,2013.1757V",33,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Financial District,Financial District/South Beach,Northeast Waterfront,0,0,0,0,37.79791034,-122.4005241,POINT (-122.4005241 37.79791034)
