Project ID,Project Status,Project Name,Street Number,Street Name,Street Type,Zip Code,Housing Tenure,Section 415 Declaration,Entitlement Approval Date,Actual/Estimated Completion Date,Planning Case Number,Property Information Map Link,Planning Entitlements,Project Units,Affordable Units,Units Subject to Section 415,On-Site Affordable Units,Off-Site Affordable Units,Off-Site Affordable Units at This Site,SRO Units,Studio Units,1bd Units,2bd Units,3bd Units,4bd Units,30% AMI,50% AMI,55% AMI,60% AMI,80% AMI,90% AMI,100% AMI,120% AMI,150% AMI,Supervisor District,Neighborhood,Planning Neighborhood,Plan Area,Off-Site Principal Project ID,Off-Site Principal Project,Off-Site Project ID,Off-Site Project,Latitude,Longitude,Location
2010-007,(6) Complete,"301-303, 307-309 & 313-315 Moraga",1701,09th,Ave,94122,Unknown,Fee Payment,01/01/2010,01/08/2013,2009.0904,http://propertymap.sfplanning.org/?search=2009.0904,2009.0904D,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Inner Sunset,Inner Sunset,,0,0,0,0,37.75638263,-122.4660624,POINT (-122.4660624 37.75638263)
2002-006,(6) Complete,1828 Geneva,1828,Geneva,Ave,94134,Rental,On-site BMR Project,01/10/2002,03/01/2011,2000.1191,http://propertymap.sfplanning.org/?search=2000.1191,"03-100,03-101,2000.1191C,2000.1191E,2000.1191S",48,6,48,6,0,0,0,0,1,4,0,0,0,0,0,6,0,0,0,0,0,11,Crocker Amazon,Excelsior,,0,0,0,0,37.70990597,-122.4248645,POINT (-122.4248645 37.70990597)
2016-078,(4) Site Work Permit Issued,2600 Harrison,2600,Harrison,St,94110,Unknown,Fee Payment,08/11/2016,12/28/2020,2014.0503,http://propertymap.sfplanning.org/?search=2014.0503,"2014.0503E,2014.0503ENX,2014.0503PPA,2014.0503U",19,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,Mission,Mission,Mission (EN),0,0,0,0,37.75537821,-122.4124064,POINT (-122.4124064 37.75537821)
2005-011,(6) Complete,333 Fremont,333,Fremont,St,94105,Rental,Fee Payment,06/16/2005,06/19/2014,2002.1263,http://propertymap.sfplanning.org/?search=2002.1263,"2002.1263C,2002.1263E,2002.1263K,2002.1263Q,2002.1263S,2002.1263U,2002.1263V",83,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,South of Market,Financial District/South Beach,Rincon Hill,0,0,0,0,37.78768215,-122.3926945,POINT (-122.3926945 37.78768215)
2003-024,(6) Complete,1277 Howard /776 Tehama,1277,Howard,St,94103,Ownership,On-site BMR Project,12/02/2003,08/08/2006,2002.0909,http://propertymap.sfplanning.org/?search=2002.0909,"2002.0909E,2002.0909K,2002.0909V",14,2,14,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,6,South of Market,South of Market,"South of Market, Western SoMa (EN)",0,0,0,0,37.77502204,-122.4124606,POINT (-122.4124606 37.77502204)
2016-023,(5) First Construction Document Issued,1699 Market,1699,Market,St,94103,Unknown,Fee Payment,03/24/2016,12/10/2019,2014.0484,http://propertymap.sfplanning.org/?search=2014.0484,"2014-002961CUA,2014.0484CND,2014.0484E,2014.0484PPA,2014.0484U",160,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,South of Market,Mission,Market and Octavia,0,0,0,0,37.77223589,-122.4218785,POINT (-122.4218785 37.77223589)
2015-055,(3) Design with Entitlements Approved,475 Minna,475,Minna,St,94103,Ownership,On-site BMR Project,12/10/2015,12/08/2022,2014.1442,http://propertymap.sfplanning.org/?search=2014.1442,"2014.1442DNX,2014.1442ENV,2014.1442U",15,3,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,South of Market,South of Market,"Central SoMa, Downtown",0,0,0,0,37.78092255,-122.407392,POINT (-122.407392 37.78092255)
2012-013,(6) Complete,Alchemy by Alta,218-220,Buchanan,St,94102,Rental,On-site BMR Project,08/16/2012,01/16/2018,2012.0033,http://propertymap.sfplanning.org/?search=2012.0033,"2012.0033A,2012.0033A_3,2012.0033C,2012.0033E,2012.0033F,2012.0033R,2012.0033S,2012.0033U,2012.0033U_3,2014-000029GPR",330,50,330,50,0,0,0,12,23,15,0,0,0,0,50,0,0,0,0,0,0,8,Western Addition,Hayes Valley,Market and Octavia,0,0,0,0,37.77169713,-122.4261466,POINT (-122.4261466 37.77169713)
2011-023,(6) Complete,574 Natoma,574,Natoma,St,94103,Ownership,On-site BMR Project,01/12/2011,08/04/2013,2008.0795,http://propertymap.sfplanning.org/?search=2008.0795,"2008.0795E,2008.0795V",11,2,11,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,6,South of Market,South of Market,"East SoMa (EN), South of Market",0,0,0,0,37.77901435,-122.4094463,POINT (-122.4094463 37.77901435)
1989-001,(6) Complete,550 South Van Ness,550,South Van Ness,Ave,94110,Ownership,On-site BMR Project,11/30/1989,09/10/1991,1991.138,http://propertymap.sfplanning.org/?search=1991.138,1991.138Q,36,8,36,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,4,0,9,Mission,Mission,Mission (EN),0,0,0,0,37.7643532,-122.4178542,POINT (-122.4178542 37.7643532)
2003-011,(6) Complete,Landmark Union Sq.,333,Grant,Ave,94108,Ownership,On-site BMR Project,11/21/2002,02/02/2005,2002.0934,http://propertymap.sfplanning.org/?search=2002.0934,"2002.0934A,2002.0934K,2002.0934V,2002.0934X",39,2,39,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,3,Financial District,Financial District/South Beach,Downtown,0,0,0,0,37.79015043,-122.4058696,POINT (-122.4058696 37.79015043)
2016-048,(5) First Construction Document Issued,Oceanwide Center,40,1st,St,94105,Unknown,Fee Payment,05/05/2016,07/04/2020,2006.1523,http://propertymap.sfplanning.org/?search=2006.1523,"2006.1523B,2006.1523CUA,2006.1523DNX,2006.1523E,2006.1523E_3,2006.1523E_5,2006.1523GPR,2006.1523MCM,2006.1523OFA-02,2006.1523PCA,2006.1523SHD,2006.1523VAR",265,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Financial District,Financial District/South Beach,"Downtown, Transit Center District",0,0,0,0,37.78989346,-122.3984158,POINT (-122.3984158 37.78989346)
2006-019,(6) Complete,725 Pine,725,Pine,St,94108,Ownership,On-site BMR Project,11/14/2006,09/12/2007,2006.0242,http://propertymap.sfplanning.org/?search=2006.0242,"2006.0242E,2006.0242V",22,2,22,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,3,Chinatown,Nob Hill,,0,0,0,0,37.79101381,-122.4076967,POINT (-122.4076967 37.79101381)
2004-010,(6) Complete,6 Mint Plaza,418-420,Jessie,St,94103,Rental,On-site BMR Project,08/05/2004,10/11/2009,2003.1243,http://propertymap.sfplanning.org/?search=2003.1243,"2003.1243C,2003.1243E,2003.1243E_2,2003.1243K,2003.1243Q,2003.1243X,2003.1243Z",25,3,25,3,0,0,0,0,1,1,1,0,0,0,3,0,0,0,0,0,0,6,South of Market,South of Market,"Central SoMa, Downtown",0,0,0,0,37.78297676,-122.4079048,POINT (-122.4079048 37.78297676)
2010-015,(6) Complete,ICON,2299,Market,St,94114,Unknown,Fee Payment,08/16/2010,11/12/2013,2008.0430,http://propertymap.sfplanning.org/?search=2008.0430,"2008.0430D,2008.0430E,2008.0430K,2008.0430Q,2008.0430V",18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Castro/Upper Market,Castro/Upper Market,,0,0,0,0,37.76404745,-122.4327612,POINT (-122.4327612 37.76404745)
2013-059,(6) Complete,1400 Mission,1400,Mission,St,94103,Ownership,Units for Off-site Project with On-site Obligation,01/17/2013,12/22/2015,2011.1043,http://propertymap.sfplanning.org/?search=2011.1043,"2011.1043C,2011.1043E,2011.1043K,2011.1043U,2011.1043X",190,167,26,3,0,164,0,4,52,94,17,0,0,0,0,0,0,0,167,0,0,6,South of Market,South of Market,"Downtown, Market and Octavia",2009-016,Lumina,0,0,37.77528267,-122.41649,POINT (-122.41649 37.77528267)
2015-005,(6) Complete,"100 Van Ness, Phase II",100,Van Ness,Ave,94102,Rental,On-site BMR Project,01/14/2015,09/29/2016,2014.0941,http://propertymap.sfplanning.org/?search=2014.0941,2014.0941V,18,2,18,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,6,Downtown/Civic Center,Tenderloin,"Downtown, Market and Octavia",0,0,0,0,37.77672111,-122.4191773,POINT (-122.4191773 37.77672111)
1992-001,(6) Complete,Ocean View Village,2251,Alemany,Blvd,94112,Ownership,On-site BMR Project,01/01/1992,11/15/1995,1990.308,http://propertymap.sfplanning.org/?search=1990.308,"1990.308C,1990.308E,1990.308S",37,2,37,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,11,Outer Mission,Outer Mission,,0,0,0,0,37.71678015,-122.4422124,POINT (-122.4422124 37.71678015)
2004-015,(6) Complete,1 South Park,1,South Park,Ave,94107,Ownership,Fee Payment,09/23/2004,02/20/2008,2003.1086,http://propertymap.sfplanning.org/?search=2003.1086,"2003.1086A,2003.1086C,2003.1086E,2003.1086K,2003.1086V",35,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,South of Market,Financial District/South Beach,"Central SoMa, East SoMa (EN), South of Market",0,0,0,0,37.7820531,-122.3928348,POINT (-122.3928348 37.7820531)
2012-011,(6) Complete,307 Octavia,307,Octavia,Blvd,94102,Rental,Fee Payment,06/28/2012,03/28/2017,2011.0744,http://propertymap.sfplanning.org/?search=2011.0744,"2011.0744C,2011.0744E,2011.0744E_3,2011.0744E_5,2011.0744K,2011.0744Q,2011.0744U",182,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Western Addition,Hayes Valley,Market and Octavia,0,0,0,0,37.77496211,-122.4251196,POINT (-122.4251196 37.77496211)
2016-119,(5) First Construction Document Issued,2350 19th,2350,19th,Ave,94107,Unknown,On-site BMR Project,07/08/2016,10/29/2019,2007.0557,http://propertymap.sfplanning.org/?search=2007.0557,2007.0557S,10,1,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7,Parkside,West of Twin Peaks,,0,0,0,0,37.74403845,-122.4753681,POINT (-122.4753681 37.74403845)
2013-016,(4) Site Work Permit Issued,2290 3rd,2290,03rd,St,94107,Ownership,Fee Payment,08/08/2013,07/29/2019,2005.0408,http://propertymap.sfplanning.org/?search=2005.0408,"2005.0408E,2005.0408E_3,2005.0408K,2005.0408X",71,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Potrero Hill,Potrero Hill,Central Waterfront (EN),0,0,0,0,37.76079825,-122.388902,POINT (-122.388902 37.76079825)
2009-014,(6) Complete,870 Harrison,870,Harrison,St,94107,Ownership,On-site BMR Project,06/18/2009,01/08/2015,2013.1156,http://propertymap.sfplanning.org/?search=2013.1156,2013.1156Q,26,4,26,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,6,South of Market,South of Market,"Central SoMa, South of Market, Western SoMa (EN)",0,0,0,0,37.7797426,-122.4013573,POINT (-122.4013573 37.7797426)
1993-001,(6) Complete,68 McCoppin,68,McCoppin,St,94103,Ownership,On-site BMR Project,12/09/1993,08/14/1996,1993.585,http://propertymap.sfplanning.org/?search=1993.585,"1993.585C,1993.585Q,1993.585S",12,1,12,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6,South of Market,Mission,Market and Octavia,0,0,0,0,37.7724661,-122.4216427,POINT (-122.4216427 37.7724661)
2017-012,(5) First Construction Document Issued,1500 Mission St,1500,Mission,St,94103,Rental,On-site BMR Project,03/23/2017,05/19/2020,2014-000362PRJ,http://propertymap.sfplanning.org/?search=2014-000362PRJ,"2014-000362DNX,2014-000362ENV,2014-000362GPA,2014-000362MAP,2014-000362PCA,2014-000362SHD,2014-000362SUB,2014.1208PPA,2014.1208U",550,110,550,110,0,0,0,40,29,39,2,0,0,0,110,0,0,0,0,0,0,6,South of Market,Mission,"Downtown, Market and Octavia",0,0,0,0,37.77418641,-122.4181267,POINT (-122.4181267 37.77418641)
2017-011,(3) Design with Entitlements Approved,555 Howard St,555,Howard,St,94105,Ownership,On-site BMR Project,03/02/2017,02/29/2024,2015-008058PRJ,http://propertymap.sfplanning.org/?search=2015-008058PRJ,"2015-008058CUA,2015-008058DNX,2015-008058ENV,2015-008058PPA,2015-008058SHD",69,10,69,10,0,0,0,0,3,5,2,0,0,0,0,0,0,10,0,0,0,6,Financial District,Financial District/South Beach,"Downtown, Transbay, Transit Center District",0,0,0,0,37.78738028,-122.396902,POINT (-122.396902 37.78738028)
2001-003,(6) Complete,Sierra Heights,639,Missouri,St,94107,Ownership,On-site BMR Project,07/12/2001,11/15/2006,2000.333,http://propertymap.sfplanning.org/?search=2000.333,"2000.333C,2000.333E",67,7,67,7,0,0,0,0,1,4,2,0,0,0,0,0,0,0,7,0,0,10,Potrero Hill,Potrero Hill,Showplace Square/Potrero Hill (EN),0,0,0,0,37.75791707,-122.3954759,POINT (-122.3954759 37.75791707)
2005-014,(6) Complete,"Candlestick Point - The Cove,  Phase II",301-501,Crescent,Way,94134,Ownership,On-site BMR Project,06/16/2005,06/14/2012,2004.0763,http://propertymap.sfplanning.org/?search=2004.0763,2004.0763Q,176,18,176,18,0,0,0,0,5,10,3,0,0,0,0,0,0,0,0,18,0,10,Bayview,Bayview Hunters Point,"Bayview Hunters Point, Candlestick Point, Executive Park",0,0,0,0,37.71146826,-122.388288,POINT (-122.388288 37.71146826)
2016-011,(5) First Construction Document Issued,580 De Haro,580,De Haro,St,94107,Unknown,Fee Payment,02/11/2016,03/06/2019,2013.1671,http://propertymap.sfplanning.org/?search=2013.1671,"2013.1671C,2013.1671E,2013.1671U",12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Potrero Hill,Potrero Hill,Showplace Square/Potrero Hill (EN),0,0,0,0,37.7625648,-122.4016989,POINT (-122.4016989 37.7625648)
2005-026,(6) Complete,Artani,818,Van Ness,Ave,94109,Ownership,On-site BMR Project/Fee Payment,10/27/2005,01/21/2009,2004.1164,http://propertymap.sfplanning.org/?search=2004.1164,"2004.1164C,2004.1164K,2004.1164V",52,2,52,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,6,Downtown/Civic Center,Tenderloin,Van Ness Corridor,0,0,0,0,37.78324236,-122.4204784,POINT (-122.4204784 37.78324236)
2007-011,(6) Complete,"NEMA, Phase I (South & North Tower)",1407-1435,Market,St,94103,Rental,On-site BMR Project,04/05/2007,11/25/2013,2006.0584,http://propertymap.sfplanning.org/?search=2006.0584,"07-052,2006.0584C,2006.0584K,2006.0584Q,2006.0584S,2006.0584V,2006.0584X,V07-111",317,38,317,38,0,0,0,22,16,0,0,0,0,0,38,0,0,0,0,0,0,6,South of Market,South of Market,"Downtown, Market and Octavia",0,0,0,0,37.77567908,-122.4170447,POINT (-122.4170447 37.77567908)
2017-034,(3) Design with Entitlements Approved,2465 Van Ness Ave,2465,Van Ness,Ave,94123,Unknown,Off-site BMR Project/Fee Payment,12/14/2017,12/12/2024,2015-014058PRJ,http://propertymap.sfplanning.org/?search=2015-014058PRJ,"2015-014058CUA,2015-014058ENV,2015-014058PPA,2015-014058TDM,2015-014058VAR",41,0,41,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Marina,Marina,Van Ness Corridor,0,0,0,0,37.79822405,-122.4243091,POINT (-122.4243091 37.79822405)
2004-006,(6) Complete,329 Bay,329,Bay,St,94133,Ownership,On-site BMR Project,06/30/2004,10/18/2007,2003.1152,http://propertymap.sfplanning.org/?search=2003.1152,"2003.1152D,2003.1152E,2003.1152E_3,2003.1152V",21,2,21,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,3,North Beach,North Beach,,0,0,0,0,37.80547658,-122.4126529,POINT (-122.4126529 37.80547658)
2008-019,(6) Complete,1285 Sutter,1285,Sutter,St,94109,Unknown,Fee Payment,05/15/2008,09/30/2013,2005.0298,http://propertymap.sfplanning.org/?search=2005.0298,"2005.0298C,2005.0298E,2005.0298K,2005.0298K_3,2005.0298Q,2005.0298S,2005.0298S_3,2005.0298V",107,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Downtown/Civic Center,Nob Hill,Van Ness Corridor,0,0,0,0,37.78735348,-122.4211894,POINT (-122.4211894 37.78735348)
1999-005,(6) Complete,140 South Van Ness / 1655 Mission,140,South Van Ness,Ave,94103,Ownership,On-site BMR Project,06/03/1999,01/28/2003,1998.472,http://propertymap.sfplanning.org/?search=1998.472,"1998.472C,1998.472E,1998.472K",223,23,223,23,0,0,0,4,11,8,0,0,0,0,0,0,0,0,23,0,0,6,South of Market,Mission,"Downtown, Market and Octavia",0,0,0,0,37.77156378,-122.4188015,POINT (-122.4188015 37.77156378)
1997-001,(6) Complete,USF - Loyola Village,600,Anza,Blvd,94118,Rental,On-site BMR Project,03/06/1997,08/14/2002,1995.336,http://propertymap.sfplanning.org/?search=1995.336,"1995.336C,1995.336E,1995.336R,1995.336S",136,17,136,17,0,0,0,0,8,5,4,0,0,0,0,6,11,0,0,0,0,1,Inner Richmond,Lone Mountain/USF,,0,0,0,0,37.77932494,-122.4513454,POINT (-122.4513454 37.77932494)
2014-016,(6) Complete,The Martin,2051,03rd,St,94107,Rental,On-site BMR Project,06/05/2014,03/21/2018,2010.0726,http://propertymap.sfplanning.org/?search=2010.0726,"2010.0726E,2010.0726E_3,2010.0726K,2010.0726LLA,2010.0726U,2010.0726X",93,12,93,12,0,0,0,4,3,5,0,0,0,0,12,0,0,0,0,0,0,10,Potrero Hill,Potrero Hill,Central Waterfront (EN),0,0,0,0,37.76373469,-122.3883059,POINT (-122.3883059 37.76373469)
2014-033,(6) Complete,1450 15th,1450,15th,St,94103,Unknown,Fee Payment,12/11/2014,12/11/2017,2013.0124,http://propertymap.sfplanning.org/?search=2013.0124,"2013.0124E,2013.0124E_3,2013.0124PPA,2013.0124U,2013.0124X",23,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,Mission,Mission,Mission (EN),0,0,0,0,37.76709156,-122.4168334,POINT (-122.4168334 37.76709156)
2015-028,(5) First Construction Document Issued,1546-1564 Market  & 55 Oak,1546-1564,Market,St,94102,Ownership,On-site BMR Project,06/25/2015,08/11/2019,2012.0877,http://propertymap.sfplanning.org/?search=2012.0877,"2012.0877CUA,2012.0877CUA-02,2012.0877E,2012.0877E_3,2012.0877E_5,2012.0877U,2012.0877VAR,2012.0877X,2012.0877X_3",109,13,109,13,0,0,0,1,9,3,0,0,0,0,0,0,0,13,0,0,0,5,Downtown/Civic Center,Hayes Valley,"Downtown, Market and Octavia",0,0,0,0,37.77496521,-122.4201769,POINT (-122.4201769 37.77496521)
1998-007,(6) Complete,1578 Indiana,1578,Indiana,St,94107,Ownership,On-site BMR Project,10/16/1998,12/01/2003,1997.539,http://propertymap.sfplanning.org/?search=1997.539,"1997.539D,1997.539E,1997.539K",12,2,12,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,10,Potrero Hill,Bayview Hunters Point,Central Waterfront (EN),0,0,0,0,37.75047645,-122.3907885,POINT (-122.3907885 37.75047645)
1997-002,(6) Complete,Clipper,672-676 B,Clipper,St,94114,Ownership,On-site BMR Project,05/22/1997,06/16/1999,1995.673,http://propertymap.sfplanning.org/?search=1995.673,"1995.673C,1995.673E,1995.673Q,1995.673Q_2,1995.673Q_3,1995.673Q_4,1995.673Q_5,1995.673Q_6,1995.673R,1995.673S",24,2,24,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,8,Noe Valley,Noe Valley,,0,0,0,0,37.74897938,-122.4396013,POINT (-122.4396013 37.74897938)
2013-001,(6) Complete,2895 San Bruno,2895,San Bruno,Ave,94134,Ownership,On-site BMR Project,01/17/2013,01/06/2017,2010.0627,http://propertymap.sfplanning.org/?search=2010.0627,"2010.0627C,2010.0627E",10,1,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,9,Excelsior,Portola,,0,0,0,0,37.72554115,-122.4024487,POINT (-122.4024487 37.72554115)
2017-018,(3) Design with Entitlements Approved,519 Ellis St,519,Ellis,St,94109,Ownership,On-site BMR Project,06/01/2017,05/30/2024,2014.0506,http://propertymap.sfplanning.org/?search=2014.0506,"2014.0506CUA,2014.0506E,2014.0506SHD,2014.0506U",21,3,21,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,6,Downtown/Civic Center,Tenderloin,,0,0,0,0,37.7842982,-122.4150038,POINT (-122.4150038 37.7842982)
2000-006,(6) Complete,1311 43rd,1131,43rd,Ave,94122,Rental,On-site BMR Project,09/27/2000,09/26/2007,2000.810,http://propertymap.sfplanning.org/?search=2000.810,2000.810V,12,1,12,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,Outer Sunset,Sunset/Parkside,,0,0,0,0,37.76213355,-122.5031091,POINT (-122.5031091 37.76213355)
1995-001,(6) Complete,Embarcadero Lofts,300,Beale,St,94105,Ownership,On-site BMR Project,04/06/1995,04/04/2002,1995.015,http://propertymap.sfplanning.org/?search=1995.015,"1995.015C,1995.015Q",67,6,67,6,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,6,0,6,South of Market,Financial District/South Beach,Rincon Hill,0,0,0,0,37.78813949,-122.3925795,POINT (-122.3925795 37.78813949)
2008-016,(6) Complete,2829 California,2829,California,St,94115,Ownership,On-site BMR Project,01/17/2008,02/06/2013,2006.1525,http://propertymap.sfplanning.org/?search=2006.1525,"2006.1525C,2006.1525E,2006.1525E_3",13,2,13,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,Western Addition,Pacific Heights,,0,0,0,0,37.78765502,-122.4409005,POINT (-122.4409005 37.78765502)
2016-112,(3) Design with Entitlements Approved,524 Howard,524,Howard,St,94105,Rental,On-site BMR Project,11/03/2016,11/02/2023,2013.0882,http://propertymap.sfplanning.org/?search=2013.0882,"2013.0882DNX,2013.0882ENV,2013.0882SHD,2013.0882U,2013.0882VAR",334,50,334,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,6,Financial District,Financial District/South Beach,"Downtown, Transbay, Transit Center District",0,0,0,0,37.78822321,-122.3970174,POINT (-122.3970174 37.78822321)
2004-004,(6) Complete,2655 Van Ness,2655,Van Ness,Ave,94109,Ownership,Fee Payment,06/03/2004,03/18/2008,2004.0090,http://propertymap.sfplanning.org/?search=2004.0090,"2004.0090C,2004.0090K,2004.0090V",29,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Marina,Marina,Van Ness Corridor,0,0,0,0,37.80006435,-122.4246803,POINT (-122.4246803 37.80006435)
2004-021,(6) Complete,Northpoint Apartments,2351,Powell,St,94133,Rental,On-site BMR Project,12/09/2004,09/01/2006,2003.1162,http://propertymap.sfplanning.org/?search=2003.1162,"2003.1162C,2003.1162E,2003.1162Q",72,9,72,9,0,0,0,3,6,0,0,0,0,0,0,9,0,0,0,0,0,3,North Beach,North Beach,"Fisherman's Wharf, Northeast Waterfront",0,0,0,0,37.80634451,-122.4116226,POINT (-122.4116226 37.80634451)
2016-020,(3) Design with Entitlements Approved,655 Folsom,655,Folsom,St,94107,Unknown,Fee Payment,03/10/2016,03/09/2023,2013.0253,http://propertymap.sfplanning.org/?search=2013.0253,"2013.0253ENV,2013.0253ENX,2013.0253PPA,2013.0253U",89,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,South of Market,Financial District/South Beach,"Central SoMa, East SoMa (EN)",0,0,0,0,37.78437415,-122.3977742,POINT (-122.3977742 37.78437415)
2016-053,(3) Design with Entitlements Approved,3701 Noriega,3701,Noriega,St,94122,Unknown,Fee Payment,05/12/2016,05/11/2023,2014-002414PRJ,http://propertymap.sfplanning.org/?search=2014-002414PRJ,"2014-002414CUA,2014-002414ENV,2014-002414PPA,2014-002414VAR",12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Outer Sunset,Sunset/Parkside,,0,0,0,0,37.75280792,-122.503573,POINT (-122.503573 37.75280792)
2009-003,(6) Complete,1622-1650 Broadway,1622-1650,Broadway,0,94123,Unknown,Fee Payment,09/02/2014,05/31/2016,2008.0862,http://propertymap.sfplanning.org/?search=2008.0862,"2008.0862C,2014-002634CND,2014-002635LLA",34,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Pacific Heights,Pacific Heights,Van Ness Corridor,0,0,0,0,37.79592459,-122.424407,POINT (-122.424407 37.79592459)
2006-003,(6) Complete,340 Fremont,340-350,Fremont,St,94105,Unknown,Fee Payment,06/08/2006,03/13/2017,2004.0552,http://propertymap.sfplanning.org/?search=2004.0552,"2004.0552E,2004.0552K,2004.0552V,2004.0552X",348,0,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,South of Market,Financial District/South Beach,Rincon Hill,0,0,0,0,37.78706681,-122.3929768,POINT (-122.3929768 37.78706681)
2008-024,(6) Complete,1355 Pacific,1355,Pacific,Ave,94109,Ownership,On-site BMR Project,07/27/2008,05/11/2010,2005.0930,http://propertymap.sfplanning.org/?search=2005.0930,"2005.0930E,2005.0930K,2005.0930V",23,2,23,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,3,Nob Hill,Russian Hill,,0,0,0,0,37.7952964,-122.4175407,POINT (-122.4175407 37.7952964)
1995-007,(6) Complete,3930 24th,3922-32,24th,St,94114,Rental,On-site BMR Project,10/12/1995,10/18/2001,1995.294,http://propertymap.sfplanning.org/?search=1995.294,"1995.294C,1995.294E,1995.294Q",19,2,19,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,8,Noe Valley,Noe Valley,,0,0,0,0,37.75175843,-122.4304347,POINT (-122.4304347 37.75175843)
1999-009,(6) Complete,348 Hyde,336,Hyde,St,94109,Rental,On-site BMR Project,10/14/1999,06/08/2004,1999.242,http://propertymap.sfplanning.org/?search=1999.242,"1999.242C,1999.242E,1999.242K,1999.242V",12,1,12,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6,Downtown/Civic Center,Tenderloin,,0,0,0,0,37.78412451,-122.4156841,POINT (-122.4156841 37.78412451)
2003-016,(6) Complete,Broderick Place,1275,Fell,St,94117,Ownership,On-site BMR Project,07/17/2003,11/01/2007,2003.0223,http://propertymap.sfplanning.org/?search=2003.0223,2003.0223C,70,8,70,8,0,0,0,0,3,5,0,0,0,0,0,0,0,0,8,0,0,5,Haight Ashbury,Hayes Valley,,0,0,0,0,37.77343971,-122.4387558,POINT (-122.4387558 37.77343971)
2014-011,(6) Complete,Abaca,1201-1225,Tennessee,St,94107,Rental,On-site BMR Project,05/01/2014,09/27/2017,2012.0493,http://propertymap.sfplanning.org/?search=2012.0493,"2012.0493CND,2012.0493E,2012.0493E_3,2012.0493E_5,2012.0493K,2012.0493U,2012.0493X",259,34,259,34,0,0,0,13,6,14,1,0,0,0,34,0,0,0,0,0,0,10,Potrero Hill,Potrero Hill,Central Waterfront (EN),0,0,0,0,37.75592798,-122.388603,POINT (-122.388603 37.75592798)
