uuid,fk
3cea8281-2728-42c7-b9e1-03cb51c08fb2,ppts_2017-015112PRL
dc0eb113-ecc3-4c33-97a0-77ee81b5df57,ppts_2017-000155MIS
01061edb-e158-4cd0-bbe5-ad58bd08a63b,ppts_2017-004109MIS
16484f2c-4c1e-4b12-b571-6ccbe1cf4ec8,ppts_2016-001514ENV
e2b43369-edc4-4df7-956c-341b066fb57f,ppts_R69.010
e14d6e0c-f2ce-4129-9a06-825cde8670be,ppts_1997.115E
e14d6e0c-f2ce-4129-9a06-825cde8670be,ppts_1997.115
f113520b-d812-4141-ba5b-25d13d0acb5d,ppts_2015-006663MIS
e976eca8-d4d1-45d0-9d60-aba0e1c00023,ppts_2007.1121E
e976eca8-d4d1-45d0-9d60-aba0e1c00023,ppts_2007.1121E_7
d55ad8eb-0ec7-4fce-8ccf-517c38699f28,ppts_2008.1186V
535ac658-697f-4f7f-b354-82f038ae8338,ppts_2018-000948CUA
535ac658-697f-4f7f-b354-82f038ae8338,ppts_2018-000948PRJ
d5221180-7077-464a-805d-a6cbc22fd140,ppts_2017-009677PRL
a118612a-f5c5-4fab-82a1-5e1959003c87,ppts_88-172
e71f6ef2-45d2-4076-a8bd-249d0ff3974d,ppts_2015-013410GEN
8ccc28dd-7bf0-4246-8abe-d1d78b3b8feb,ppts_R66.058
82693d0c-0c38-4acf-ab7c-08d79e4b4e18,ppts_1986.146E
d8acbe55-bd57-40d2-97d2-f23903bc5ad6,ppts_EE73.195
cee483e4-a124-463b-a3da-5602d90d25e4,ppts_86-089
ee113188-4156-4363-8509-8d060de4cf0c,ppts_2007.1121E_5
4121348a-618f-478e-aa28-0d6d770e5c34,ppts_2016-002196GEN
7e251f2c-c9de-4a1c-b671-29cb8c8da160,ppts_96-140
9fc2d044-37a2-4237-8759-fc0f1b362e29,ppts_5523PRV
16075d55-e5d8-4450-a63a-6ac9d726f14b,ppts_2007.1121E_3
892fdb19-a015-4eb0-8781-3e5945afe987,ppts_MB1401513
3dd7b47f-833a-4982-a34e-3dc3270b5cab,ppts_7052PRV
8045d50c-70be-465d-9984-134dbf36d9a2,ppts_2016-008581PRJ
105df4c5-3cb0-4602-a194-5e47848f9401,pts_1340311497257
98a358a0-b3bc-4851-99a9-80b501301f95,pts_1456332508585
aa5b8516-e31d-420b-a648-206bc27109ce,pts_1457141501292
f188df36-a0dc-4b9c-a878-85b2122fc8c1,pts_1464175214172
f188df36-a0dc-4b9c-a878-85b2122fc8c1,pts_1492183510316
73486039-ac25-4ac1-9abb-7d179fd4bb1c,pts_1465081108606
73486039-ac25-4ac1-9abb-7d179fd4bb1c,pts_1465082390978
3c09a083-45eb-4b1b-90da-11979e616721,pts_1465580423638
8d2835e1-6be9-45a0-a298-9a9238d91270,pts_1471234501292
3cea8281-2728-42c7-b9e1-03cb51c08fb2,pts_1488546103268
3cea8281-2728-42c7-b9e1-03cb51c08fb2,pts_1488557475859
0e94c310-62f2-4a2f-ac16-07838460d586,pts_1493240480621
01175fbc-dc79-4e82-b6da-788ac493fbba,pts_1549264108606
105df4c5-3cb0-4602-a194-5e47848f9401,tco_201404304554_2018-01-11
a6176020-babf-406f-ac8e-1af2ee650303,tco_201405286908_2018-01-19
5dd7940c-b25c-4f44-9846-093f2dc45ed7,tco_201408133766_2018-01-23
9c055cb2-835a-4b94-a673-aa1a0880e53b,tco_201309045886_2018-01-29
cbba8eb8-75f9-47bd-b83b-361138e5edb9,tco_201908098418_2019-11-01
5e0a9b77-2ce9-4946-a954-5ca9d05ea1d8,tco_201703060758_2018-01-02
33fad300-17aa-41a5-b600-b3075555ed2c,tco_201510169925_2018-01-04
8e6240a7-aa72-4fce-9011-23a05490bff0,tco_201307262927_2018-01-08
212b7d4d-f983-4f51-85ba-c71ac969d283,tco_201704264920_2018-01-08
d80d36ba-df7a-4bd5-a694-ba66720a8f70,tco_201611162876_2018-01-10
45d29807-c6b4-4efc-be99-9ef7fe50be7f,tco_201307313201_2018-01-11
399c63b1-19d6-4c81-8b13-6be5bdf22aec,tco_201601086723_2018-01-12
00be67b5-86e5-4435-9cc8-281250151a8f,tco_201609097350_2018-01-16
ecf7b639-8335-422d-93a4-8005f29654c3,tco_201607142411_2018-01-16
1cd320c2-5dad-472a-b639-31cc35007349,tco_201604084287_2018-01-17
f8ed4ff8-f1f8-471d-86e4-797fced34580,tco_201702038579_2018-01-18
681fc270-8244-480c-97b3-d4ae004363f5,tco_201604124545_2018-01-19
329c204c-e8c4-451e-a425-55360878810a,tco_201602189860_2018-01-22
63193f5a-a53d-4ea4-afb2-8941cc2ab618,tco_201505287372_2018-01-24
7c2f7fcc-552f-436a-befd-782d5ba8050e,tco_201306129341_2018-01-25
3f4b58c0-990d-4a05-86f2-027e7976ce94,tco_201609016639_2018-01-26
f674d75d-8593-458b-93b2-65c59f579c2a,tco_201612024018_2018-01-30
52e9e867-4266-4f27-be6f-745a33bcddd6,tco_201504062845_2018-01-31
f2acc44c-68b1-49ad-be63-abf98435209e,tco_201406259383_2016-02-06
105df4c5-3cb0-4602-a194-5e47848f9401,tco_201404304554_2019-02-13
ac8ec417-7a6f-415e-8987-2de86f24b676,tco_201406249199_2018-02-15
783cd850-e6cb-4cfb-9655-43f5eb515194,tco_201312093685_2018-02-27
e3bebbe6-cfcc-40e9-a34c-03b5ff111e9b,tco_201208207754_2018-02-01
adef2e15-1ab2-4a96-a130-020ac427e58e,tco_201601227796_2018-02-01
0916eb85-c2e8-4797-876d-e4c5868d063e,tco_201506017714_2018-02-01
5a4d3d42-109d-48c3-9a9b-3b2d785a09d5,tco_201412012693_2018-02-02
fc95b966-f0b2-48d8-8b6a-dacd4bdc6380,tco_201604154912_2018-02-08
88176e16-8e30-4b9b-b197-e35797f4824b,tco_201312093691_2018-02-12
24f40c6b-de33-45dd-867a-f5bf50843270,tco_201205251254_2018-02-13
333fea89-6a31-494d-93f7-25ff8c8a1c45,tco_201703302804_2018-02-14
5b41b742-6958-4593-99ea-455a128dbb3d,tco_201508275422_2018-02-14
1ab0c52a-b2ab-4bad-88f7-13f1ce3b527d,tco_201607273540_2018-02-15
24c6c9e8-0518-47fb-9341-c7ca0b18f7ed,tco_201511061992_2018-02-16
234cc7d9-184e-435c-826c-a186f193c19e,tco_201412194190_2018-02-22
91e293cb-79b8-4d8e-bbd0-13330a51d214,tco_201701066618_2018-02-22
e9f59df1-c26d-4d5c-9ee8-4e45cc556038,tco_201510159839_2018-02-27
b7c8cfd5-b868-46a8-9715-1c2d922b2123,tco_201405064989_2018-02-28
babc9d17-462c-417a-a089-cd87940eff9e,tco_201408133775_2018-03-16
48ec498e-497f-4206-89ff-2697b8c807ce,tco_201406259383_2018-03-16
6e5be96b-d34a-406d-96bc-0ce303851a5a,tco_201406138394_2018-03-27
