uuid,fk
5df4f8a8-ab1b-4eae-9d2b-26a8b708205a,1997.115
8a252a84-14cd-41d1-b817-c6659f3ca962,2018-000948CUA
da8d58fa-7759-4863-b8d6-95d29aab7699,2016-001514PRJ
823c22d1-c4ed-405f-ab87-6721d0f45abe,2003.0784
ae4cc3bc-f82c-4c11-a352-ad8b6fe29ef4,2017-009677PRL
2d9cf404-c507-4085-b3b3-00448870c2fa,1990.858
e8954cfc-5530-4b17-be24-478f38108b5f,88-172
9bc92417-6a08-41ed-9253-6d3148885529,2015-013410GEN
784b45aa-b939-460b-af4b-713935d333b5,R66.058
3e63721f-8855-4af6-90aa-bc5aaa3bbbae,1986.146E
7f9a2c7b-b00a-46c6-b9be-f89945fffc4b,EE73.195
1412c1d9-0c1c-4614-951f-08698568170e,86-089
8a252a84-14cd-41d1-b817-c6659f3ca962,2018-000948PRJ
425fddf0-d648-4c04-a7b8-a4f59b3dd3ec,2007.1121E_5
4bf4211f-267d-40fa-9a5e-a585149de7a4,2016-002196GEN
51a78eac-2c11-4bd6-b016-915bddba8588,96-140
658e0e6f-4ff3-4c4f-9aba-50294a8bed07,5523PRV
9bbe5cd1-7f24-463d-8577-a0154837489c,2007.1121E_3
f4226869-d7d0-4cc8-9f45-23d8d72512f3,MB1401513
3e63721f-8855-4af6-90aa-bc5aaa3bbbae,1986.146
f2306bf5-2646-4a61-89de-99eda66571cc,7052PRV
35ccf2f6-147f-4557-914a-023a9ab975fe,2016-008581PRJ
